alpha,gamma,max_iter,acc_pre,acc_pre_sc,acc_post,acc_post_sc,iters_pre,iters_post,J_image,J_min,J_max
0.100,0.500,5,0.105,0.101,0.860,0.862,2,2,J_a0p100_g0p500_m5_i1.png,-0.040,0.040
0.100,0.500,6,0.112,0.093,0.883,0.872,2,2,J_a0p100_g0p500_m6_i2.png,-0.042,0.041
0.100,0.500,7,0.121,0.106,0.893,0.894,2,3,J_a0p100_g0p500_m7_i3.png,-0.040,0.041
0.100,0.500,8,0.103,0.129,0.892,0.898,2,3,J_a0p100_g0p500_m8_i4.png,-0.040,0.040
0.200,0.500,5,0.104,0.100,0.890,0.890,3,3,J_a0p200_g0p500_m5_i5.png,-0.039,0.039
0.200,0.500,6,0.104,0.114,0.882,0.887,2,3,J_a0p200_g0p500_m6_i6.png,-0.040,0.040
0.200,0.500,7,0.126,0.143,0.877,0.876,2,3,J_a0p200_g0p500_m7_i7.png,-0.039,0.041
0.200,0.500,8,0.104,0.100,0.870,0.873,3,3,J_a0p200_g0p500_m8_i8.png,-0.040,0.040
0.300,0.500,5,0.134,0.078,0.901,0.896,3,3,J_a0p300_g0p500_m5_i9.png,-0.040,0.040
0.300,0.500,6,0.100,0.100,0.876,0.880,3,3,J_a0p300_g0p500_m6_i10.png,-0.041,0.040
0.300,0.500,7,0.055,0.151,0.875,0.878,3,3,J_a0p300_g0p500_m7_i11.png,-0.040,0.040
0.300,0.500,8,0.098,0.115,0.883,0.884,3,3,J_a0p300_g0p500_m8_i12.png,-0.040,0.041
