alpha,gamma,max_iter,acc_pre,acc_pre_sc,acc_post,acc_post_sc,iters_pre,iters_post,J_image,J_min,J_max
0.100,0.200,5,0.096,0.100,0.878,0.881,2,2,J_a0p100_g0p200_m5_i1.png,-0.027,0.025
0.100,0.200,6,0.100,0.100,0.879,0.888,2,2,J_a0p100_g0p200_m6_i2.png,-0.025,0.026
0.100,0.200,7,0.088,0.111,0.895,0.896,2,2,J_a0p100_g0p200_m7_i3.png,-0.026,0.026
0.100,0.500,5,0.106,0.099,0.873,0.872,2,2,J_a0p100_g0p500_m5_i4.png,-0.033,0.031
0.100,0.500,6,0.125,0.094,0.897,0.901,2,2,J_a0p100_g0p500_m6_i5.png,-0.031,0.031
0.100,0.500,7,0.086,0.104,0.878,0.873,2,2,J_a0p100_g0p500_m7_i6.png,-0.031,0.031
0.100,0.750,5,0.089,0.100,0.874,0.872,2,2,J_a0p100_g0p750_m5_i7.png,-0.035,0.035
0.100,0.750,6,0.099,0.100,0.872,0.877,2,2,J_a0p100_g0p750_m6_i8.png,-0.036,0.036
0.100,0.750,7,0.099,0.100,0.880,0.883,2,2,J_a0p100_g0p750_m7_i9.png,-0.036,0.036
0.500,0.200,5,0.133,0.115,0.878,0.884,2,3,J_a0p500_g0p200_m5_i10.png,-0.025,0.026
0.500,0.200,6,0.097,0.093,0.888,0.890,2,3,J_a0p500_g0p200_m6_i11.png,-0.026,0.026
0.500,0.200,7,0.100,0.100,0.873,0.882,2,3,J_a0p500_g0p200_m7_i12.png,-0.026,0.025
0.500,0.500,5,0.108,0.099,0.883,0.887,3,4,J_a0p500_g0p500_m5_i13.png,-0.030,0.031
0.500,0.500,6,0.062,0.100,0.884,0.892,3,4,J_a0p500_g0p500_m6_i14.png,-0.031,0.032
0.500,0.500,7,0.080,0.075,0.889,0.894,3,4,J_a0p500_g0p500_m7_i15.png,-0.031,0.030
0.500,0.750,5,0.102,0.149,0.895,0.894,3,4,J_a0p500_g0p750_m5_i16.png,-0.035,0.035
0.500,0.750,6,0.105,0.105,0.879,0.879,3,4,J_a0p500_g0p750_m6_i17.png,-0.035,0.035
0.500,0.750,7,0.101,0.100,0.889,0.894,3,4,J_a0p500_g0p750_m7_i18.png,-0.035,0.034
1.000,0.200,5,0.096,0.100,0.893,0.896,3,5,J_a1p000_g0p200_m5_i19.png,-0.025,0.025
1.000,0.200,6,0.116,0.096,0.888,0.893,3,4,J_a1p000_g0p200_m6_i20.png,-0.026,0.025
1.000,0.200,7,0.121,0.100,0.889,0.887,2,4,J_a1p000_g0p200_m7_i21.png,-0.025,0.026
1.000,0.500,5,0.102,0.100,0.898,0.900,3,5,J_a1p000_g0p500_m5_i22.png,-0.029,0.030
1.000,0.500,6,0.091,0.103,0.892,0.894,3,5,J_a1p000_g0p500_m6_i23.png,-0.030,0.032
1.000,0.500,7,0.091,0.099,0.867,0.879,3,5,J_a1p000_g0p500_m7_i24.png,-0.030,0.031
1.000,0.750,5,0.076,0.067,0.860,0.870,4,5,J_a1p000_g0p750_m5_i25.png,-0.035,0.035
1.000,0.750,6,0.079,0.128,0.898,0.893,4,5,J_a1p000_g0p750_m6_i26.png,-0.034,0.036
1.000,0.750,7,0.092,0.121,0.864,0.872,4,5,J_a1p000_g0p750_m7_i27.png,-0.036,0.035
