alpha  gamma  max_iter  acc_pre  acc_pre_sc  acc_post  acc_post_sc  iters_pre  iters_post  J_image                      J_min   J_max
-------------------------------------------------------------------------------------------------------------------------------------
0.100  0.200  7         0.106    0.088       0.879     0.882        2          2           J_a0p100_g0p200_m7_i1.png    -0.027  0.027
0.100  0.200  8         0.099    0.108       0.892     0.892        2          2           J_a0p100_g0p200_m8_i2.png    -0.025  0.026
0.100  0.200  9         0.114    0.110       0.875     0.872        2          2           J_a0p100_g0p200_m9_i3.png    -0.025  0.026
0.100  0.200  10        0.105    0.100       0.878     0.890        2          2           J_a0p100_g0p200_m10_i4.png   -0.025  0.026
0.100  0.500  7         0.100    0.102       0.872     0.870        2          2           J_a0p100_g0p500_m7_i5.png    -0.031  0.032
0.100  0.500  8         0.100    0.100       0.882     0.883        2          2           J_a0p100_g0p500_m8_i6.png    -0.030  0.032
0.100  0.500  9         0.099    0.107       0.893     0.889        2          2           J_a0p100_g0p500_m9_i7.png    -0.031  0.031
0.100  0.500  10        0.099    0.100       0.898     0.896        2          2           J_a0p100_g0p500_m10_i8.png   -0.030  0.032
0.200  0.200  7         0.102    0.099       0.874     0.879        2          3           J_a0p200_g0p200_m7_i9.png    -0.026  0.025
0.200  0.200  8         0.062    0.117       0.887     0.891        2          3           J_a0p200_g0p200_m8_i10.png   -0.026  0.026
0.200  0.200  9         0.056    0.101       0.877     0.874        2          3           J_a0p200_g0p200_m9_i11.png   -0.025  0.027
0.200  0.200  10        0.097    0.099       0.884     0.880        2          3           J_a0p200_g0p200_m10_i12.png  -0.024  0.027
0.200  0.500  7         0.105    0.100       0.903     0.908        2          3           J_a0p200_g0p500_m7_i13.png   -0.030  0.032
0.200  0.500  8         0.123    0.131       0.883     0.886        2          3           J_a0p200_g0p500_m8_i14.png   -0.030  0.031
0.200  0.500  9         0.115    0.100       0.876     0.878        2          3           J_a0p200_g0p500_m9_i15.png   -0.030  0.033
0.200  0.500  10        0.099    0.104       0.887     0.892        2          3           J_a0p200_g0p500_m10_i16.png  -0.032  0.033
