alpha  gamma  max_iter  acc_pre  acc_pre_sc  acc_post  acc_post_sc  iters_pre  iters_post  J_min   J_max
--------------------------------------------------------------------------------------------------------
0.100  0.100  15        0.100    0.100       0.620     0.600        2          2           -0.023  0.024
0.100  0.100  20        0.070    0.100       0.670     0.670        2          2           -0.023  0.023
0.100  0.100  30        0.100    0.100       0.680     0.680        2          2           -0.025  0.025
0.100  0.200  15        0.070    0.100       0.650     0.660        2          2           -0.025  0.027
0.100  0.200  20        0.120    0.100       0.560     0.560        2          2           -0.026  0.028
0.100  0.200  30        0.120    0.110       0.640     0.650        2          2           -0.026  0.026
0.100  0.500  15        0.080    0.100       0.600     0.600        2          2           -0.031  0.031
0.100  0.500  20        0.100    0.100       0.520     0.550        2          2           -0.030  0.031
0.100  0.500  30        0.090    0.100       0.500     0.530        2          2           -0.032  0.031
0.200  0.100  15        0.100    0.100       0.520     0.570        2          2           -0.022  0.024
0.200  0.100  20        0.110    0.090       0.610     0.580        2          2           -0.025  0.025
0.200  0.100  30        0.110    0.100       0.570     0.590        2          2           -0.023  0.025
0.200  0.200  15        0.120    0.100       0.600     0.620        2          3           -0.025  0.026
0.200  0.200  20        0.100    0.070       0.560     0.620        2          2           -0.026  0.026
0.200  0.200  30        0.100    0.110       0.530     0.540        2          2           -0.026  0.025
0.200  0.500  15        0.070    0.100       0.570     0.620        2          3           -0.032  0.031
0.200  0.500  20        0.140    0.090       0.560     0.570        2          3           -0.031  0.032
0.200  0.500  30        0.080    0.040       0.490     0.550        2          3           -0.031  0.031
0.500  0.100  15        0.090    0.090       0.540     0.550        2          3           -0.024  0.025
0.500  0.100  20        0.090    0.100       0.670     0.700        2          3           -0.023  0.024
0.500  0.100  30        0.100    0.100       0.570     0.560        2          3           -0.023  0.025
0.500  0.200  15        0.100    0.110       0.660     0.660        2          3           -0.026  0.026
0.500  0.200  20        0.090    0.080       0.600     0.620        2          3           -0.025  0.025
0.500  0.200  30        0.100    0.130       0.510     0.540        2          3           -0.025  0.026
0.500  0.500  15        0.130    0.100       0.640     0.650        3          3           -0.030  0.029
0.500  0.500  20        0.070    0.030       0.620     0.590        3          3           -0.030  0.031
0.500  0.500  30        0.100    0.100       0.600     0.630        3          3           -0.030  0.031
