alpha,gamma,max_iter,acc_pre,acc_pre_sc,acc_post,acc_post_sc,iters_pre,iters_post,J_min,J_max
1,1,15,0.110,0.100,0.580,0.610,4,5,-0.039,0.039
1,1,20,0.140,0.150,0.540,0.570,4,5,-0.040,0.039
1,1,30,0.090,0.100,0.550,0.570,4,5,-0.038,0.039
1,2,15,0.100,0.110,0.580,0.590,5,6,-0.056,0.056
1,2,20,0.100,0.100,0.550,0.550,5,6,-0.057,0.057
1,2,30,0.100,0.100,0.650,0.660,6,6,-0.057,0.057
1,5,15,0.110,0.100,0.540,0.570,13,11,-0.108,0.109
1,5,20,0.100,0.100,0.560,0.600,14,11,-0.110,0.109
1,5,30,0.110,0.090,0.550,0.570,15,11,-0.107,0.107
2,1,15,0.100,0.100,0.550,0.600,6,7,-0.038,0.038
2,1,20,0.100,0.100,0.540,0.550,5,7,-0.038,0.040
2,1,30,0.120,0.150,0.570,0.590,6,7,-0.037,0.040
2,2,15,0.100,0.100,0.500,0.510,9,10,-0.055,0.056
2,2,20,0.100,0.100,0.410,0.390,11,9,-0.054,0.056
2,2,30,0.080,0.090,0.470,0.490,11,10,-0.055,0.059
2,5,15,0.110,0.080,0.530,0.540,15,15,-0.104,0.104
2,5,20,0.080,0.140,0.360,0.380,20,20,-0.105,0.105
2,5,30,0.090,0.090,0.490,0.480,30,30,-0.101,0.102
5,1,15,0.060,0.100,0.470,0.460,15,15,-0.034,0.036
5,1,20,0.130,0.140,0.510,0.550,14,16,-0.034,0.035
5,1,30,0.100,0.120,0.600,0.620,13,17,-0.036,0.038
5,2,15,0.100,0.110,0.440,0.450,15,15,-0.048,0.049
5,2,20,0.100,0.110,0.370,0.430,20,20,-0.049,0.048
5,2,30,0.100,0.100,0.450,0.440,30,30,-0.050,0.049
5,5,15,0.100,0.100,0.100,0.100,15,15,-0.107,0.101
5,5,20,0.100,0.100,0.150,0.160,20,20,-0.102,0.106
5,5,30,0.060,0.060,0.100,0.100,30,30,-0.100,0.104
