alpha,gamma,max_iter,acc_pre,acc_pre_sc,acc_post,acc_post_sc,iters_pre,iters_post,J_min,J_max
0.100,0.500,1,0.101,0.100,0.870,0.875,1,1,-0.031,0.031
0.100,0.500,5,0.106,0.090,0.889,0.888,2,2,-0.031,0.032
0.100,0.500,10,0.103,0.101,0.906,0.904,2,2,-0.031,0.031
0.100,0.750,1,0.093,0.100,0.892,0.890,1,1,-0.036,0.036
0.100,0.750,5,0.088,0.098,0.880,0.877,2,2,-0.035,0.036
0.100,0.750,10,0.096,0.100,0.880,0.880,2,2,-0.037,0.036
0.100,1.000,1,0.101,0.100,0.873,0.873,1,1,-0.041,0.041
0.100,1.000,5,0.107,0.128,0.892,0.898,2,2,-0.039,0.041
0.100,1.000,10,0.118,0.121,0.886,0.884,2,2,-0.039,0.040
0.500,0.500,1,0.100,0.100,0.891,0.884,1,1,-0.030,0.029
0.500,0.500,5,0.093,0.098,0.891,0.904,3,4,-0.029,0.031
0.500,0.500,10,0.113,0.101,0.893,0.886,3,4,-0.031,0.030
0.500,0.750,1,0.100,0.100,0.874,0.881,1,1,-0.034,0.036
0.500,0.750,5,0.048,0.100,0.877,0.884,3,4,-0.035,0.035
0.500,0.750,10,0.110,0.101,0.883,0.884,3,4,-0.035,0.036
0.500,1.000,1,0.127,0.071,0.888,0.893,1,1,-0.039,0.041
0.500,1.000,5,0.105,0.056,0.877,0.873,3,4,-0.039,0.041
0.500,1.000,10,0.134,0.100,0.886,0.888,3,4,-0.040,0.041
1.000,0.500,1,0.095,0.100,0.865,0.876,1,1,-0.031,0.033
1.000,0.500,5,0.113,0.109,0.890,0.887,3,5,-0.029,0.030
1.000,0.500,10,0.102,0.114,0.880,0.884,3,5,-0.030,0.030
1.000,0.750,1,0.097,0.100,0.876,0.876,1,1,-0.035,0.035
1.000,0.750,5,0.148,0.101,0.865,0.864,4,5,-0.035,0.036
1.000,0.750,10,0.108,0.111,0.879,0.886,4,5,-0.035,0.035
1.000,1.000,1,0.099,0.100,0.899,0.894,1,1,-0.039,0.040
1.000,1.000,5,0.073,0.094,0.886,0.890,4,5,-0.040,0.039
1.000,1.000,10,0.120,0.100,0.890,0.894,4,5,-0.040,0.039
