alpha  gamma  max_iter  acc_pre  acc_pre_sc  acc_post  acc_post_sc  iters_pre  iters_post  J_image                     J_min   J_max
------------------------------------------------------------------------------------------------------------------------------------
0.100  0.500  5         0.077    0.101       0.863     0.872        4          4           J_a0p100_g0p500_m5_i1.png   -0.143  0.143
0.100  0.500  6         0.100    0.100       0.877     0.881        3          4           J_a0p100_g0p500_m6_i2.png   -0.143  0.144
0.100  0.500  7         0.121    0.102       0.888     0.894        4          4           J_a0p100_g0p500_m7_i3.png   -0.143  0.144
0.100  0.500  8         0.113    0.120       0.863     0.864        3          4           J_a0p100_g0p500_m8_i4.png   -0.143  0.145
0.200  0.500  5         0.132    0.100       0.868     0.872        5          5           J_a0p200_g0p500_m5_i5.png   -0.141  0.143
0.200  0.500  6         0.104    0.115       0.887     0.892        4          5           J_a0p200_g0p500_m6_i6.png   -0.143  0.142
0.200  0.500  7         0.100    0.100       0.877     0.885        5          5           J_a0p200_g0p500_m7_i7.png   -0.142  0.142
0.200  0.500  8         0.113    0.084       0.887     0.889        5          5           J_a0p200_g0p500_m8_i8.png   -0.143  0.142
0.300  0.500  5         0.097    0.100       0.869     0.871        5          5           J_a0p300_g0p500_m5_i9.png   -0.141  0.141
0.300  0.500  6         0.100    0.099       0.890     0.888        6          6           J_a0p300_g0p500_m6_i10.png  -0.142  0.142
0.300  0.500  7         0.094    0.100       0.853     0.864        6          5           J_a0p300_g0p500_m7_i11.png  -0.143  0.143
0.300  0.500  8         0.108    0.095       0.871     0.876        6          6           J_a0p300_g0p500_m8_i12.png  -0.142  0.142
